,title,revenue
0,Pokémon: The Rise of Darkrai,4312409.390828458
1,Attack of the 50 Foot Woman,1574561.7535399687
2,Addicted to Love,6327415.377928743
3,Incendies,1014175.1957235356
4,Inside Deep Throat,603055.6973850856
5,SubUrbia,748730.5563694283
6,Three,2084197.808194455
7,The Tigger Movie,43071301.77594553
8,Becoming Jane,16290030.561338868
9,Toy Story 2,236554132.896765
10,Cruel World,311852.1854611399
11,Girlhood,395189.5230983757
12,The Gods Must Be Crazy,18014955.0847806
13,Raising Victor Vargas,269575.2458382103
14,The Brothers Bloom,34770003.269793525
15,Beautiful Boy,71534.47972288962
16,Hot Tub Time Machine,88666841.36170737
17,Transcendence,59531510.48044198
18,All That Jazz,17626648.920951836
19,Titanic,226319860.24082685
20,Very Bad Things,26665052.293789055
21,My Best Friend's Girl,45568442.17922152
22,Broken Bridges,1457491.8261750622
23,Suspect Zero,39083531.080750816
24,The Adderall Diaries,406762.03491806
25,Cape Fear,64838892.70774571
26,The New Adventures of Pippi Longstocking,7145155.509778162
27,The Accountant,81403454.87252617
28,Yossi,524217.50923839497
29,American Outlaws,33140688.743770372
30,Shortbus,3425148.8009440647
31,Rang De Basanti,4382029.934295139
32,I Married a Strange Person!,135922.4004366335
33,Ayurveda: Art of Being,156593.9262184521
34,Obvious Child,336619.48161284986
35,Predestination,5045648.113580653
36,Honey,72947615.74283005
37,The Boy,11729143.987505289
38,Ernest & Celestine,8227520.1080026245
39,When the Wind Blows,720055.5122673635
40,Young Adult,23841853.423565164
41,Best Seller,3527580.980333142
42,Piranha 3DD,17932442.68084341
43,Barbecue,2972312.2041077157
44,Captain America: The First Avenger,465576621.0112612
45,The Comfort of Strangers,351802.75569526094
46,To Have and Have Not,3738306.610909007
47,Running Scared,10529199.055227173
48,Short Circuit 2,23353958.21826343
49,Saturday Night Fever,41656692.98270743
50,The Immortals,111231.3375217659
51,Boat Trip,7351507.680074333
52,Beautiful Losers,112372.47247596711
53,Baghban,54545.43412191043
54,The Age of Innocence,60921416.985110775
55,The Stoker,88284.80451744146
56,Jade,55845240.68121653
57,Robin Hood,215696824.35285622
58,Repentance,277119.8089940421
59,The Negotiator,83075547.71013692
60,White Fang,55835281.47824754
61,The Fall,3628933.856211624
62,Salton Sea,8788176.064191297
63,Dragon Blade,52029518.84392892
64,What's Your Number?,33795836.46259861
65,Arthur,84156792.38994335
66,XX,814192.4759031663
67,Wayne's World,57347473.08786604
68,Rango,195363964.27104843
69,The Impostors,2058175.9455825915
70,Ken Park,2424196.8583168876
71,Inception,351406590.28529507
72,Blind Dating,472135.0163943513
73,Dangerously Close,364261.38629478007
74,The Perks of Being a Wallflower,38148761.56291271
75,xXx: State of the Union,210871976.6907098
76,Aftermath,4924091.0410408955
77,Aliens vs Predator: Requiem,68704920.62420233
78,Ice Princess,59137521.27334969
79,Garfield,124516756.38030271
80,The Conversation,19540065.874650635
81,Tomboy,3290457.5379542815
82,Sorority Row,9977506.729889195
83,The Mysterious Lady,190653.1889047967
84,Ong Bak 2,5807366.613170991
85,Extremely Loud & Incredibly Close,65425767.15551431
86,Skateland,118647.39603124007
87,The Queen of Versailles,163592.98916351498
88,Captive,60513.0475085719
89,Tenacious D in The Pick of Destiny,43641406.41248608
90,Rhinestone,29908677.127262264
91,American Splendor,1814862.0611890075
92,Shark Tale,168519283.1972971
93,"Me, Myself & Irene",96294149.2292546
94,Little Children,47013716.21569638
95,Bathing Beauty,3459794.950660562
96,Spider-Man 3,660615467.3139462
97,Weekend at Bernie's,11960752.274527775
98,The Rainmaker,60577479.358931795
99,The Final Cut,1830931.7561781064
100,Some Kind of Wonderful,16445070.49288201
101,Afflicted,491645.80293662276
102,"Good Morning, Babylon",686821.8861155607
103,Double Trouble,2891422.850135918
104,Vertical Limit,77327423.23466936
105,Message in a Bottle,19165121.91233946
106,We Own the Night,33513291.657567803
107,Mr. Right,3781496.536563102
108,Rookie of the Year,18247117.713258397
109,The Incredible Hulk,265675997.2650936
110,71: Into the Fire,3149099.6693923
111,The Patience Stone,392936.62115889357
112,Austenland,3525304.4108998063
113,Y Tu Mamá También,11855367.268636802
114,Fantastic Voyage,15128419.807849472
115,Madea's Family Reunion,3555722.0015601492
116,Cycling with Molière,272934.17997143534
117,Synchronicity,1010175.2577865652
118,"I, Robot",146787817.55489242
119,Metropolis,22298897.241221424
120,The World of Apu,1068293.5408154677
121,Buffalo '66,3131456.1582044717
122,12 Angry Men,9297320.77772333
123,Citizenfour,546320.9275254757
124,The Advocate,83893.86787381608
125,Dragnet,41781021.99762231
126,Melinda and Melinda,10212144.200815622
127,Endless Love,43093160.74742401
128,Ghostbusters,159442841.41001335
129,Lucas,12296744.341091938
130,Emperor,834492.74888
131,Badmaash Company,5825856.277682545
132,Hum Aapke Hain Koun,53159.50996257457
133,Dead Again,17158044.46112817
